user_id,id,name,date,description,genre,theme,rating
1,1511347,The Fugitive,2024-01-01,"She is a lonely young woman, spending her nights drinking. He is a man on the run. They meet each other one evening in a bar. It could be the beginning of a beautiful friendship, something more or just a small moment of rest and human connection between the big events of their lives.","['Drama', 'Crime']",,4
1,1553294,Gone With The Wind,2022-01-01,"Love prevails in Ireland as Patrick O'Malley fights for the love of his life, Shirley the Balloon.","['Family', 'Action', 'Drama', 'Adventure', 'Comedy', 'Romance']",,4
1,1351153,The Lawnmower Man,2024-01-01,"When a seemingly ordinary husband discovers his wife's secret, he learns that the lawnmower man is cutting much more than just the grass.","['Drama', 'Crime']",,2
1,1577406,Richard III,2023-01-01,"Charismatic, cunning, and utterly ruthless, Richard, Duke of Gloucester is the very embodiment of lethal ambition as he maneuvers and murders his way to the throne of England.",['[]'],,3
1,1565145,Unknown,2021-01-01,"A testimony of two transgender women about childhood, desires, violence, and perseverance in modern day Hungary.",['[]'],,4
1,1621514,Aliens,2021-01-01,"A film about how language, be it film, art or written language, creates in itself a system where separation precedes contact.",['[]'],,5
2,1886004,Contact,2022-01-01,"Strange things have been happening around town. Joe is moving house, before an alien invasion interrupts him.","['Science Fiction', 'Drama', 'Thriller']",,3
2,1238780,The Godfather,2023-01-01,An angry comedy set in the world of really organized crime.,"['Crime', 'Comedy']",,5
2,1580077,Emma,2022-01-01,"Emma, a humpback whale, embarks with her pod on the most important migration journey of her life.",['Animation'],,5
2,1072572,Sense and Sensibility,2024-01-01,"A period adaptation of Jane Austen's Sense and Sensibility. After a change in circumstances, Marianne is torn between two men, while Elinor longs for a man beyond reach.","['Drama', 'Comedy', 'TV Movie']",,5
2,1577406,Richard III,2023-01-01,"Charismatic, cunning, and utterly ruthless, Richard, Duke of Gloucester is the very embodiment of lethal ambition as he maneuvers and murders his way to the throne of England.",['[]'],,2
2,1317721,Contact,2023-01-01,"A Cornish-speaking alien returns to earth with the mortal remains of a 10th century pilgrim, and demands to speak with Jenna Gwennap.  In Kernewek with English subtitles.",['Science Fiction'],,3
3,1859956,Moth-er!,2022-01-01,"Moth-er is a short film depicting the horrific night of a young woman when she gets haunted by a moth, 49 days after her mother’s death. Moth-er attempts to visually capture the stages of grief the protagonist goes through by using that horrific night as a sort of microcosm of her grieving process.",['[]'],,5
3,1365548,Mimic,2023-01-01,A young man is confronted by a familiar entity in a stairwell.,"['Horror', 'Thriller']",,2
3,1203890,Mother,2020-01-01,"Three days in the life of a young mother, her mother, and her son, Luther, living in the postcolonial, matriarchal culture of rural Jamaica. As the narrative unfolds, a simmering conflict over Luther and his femininity surfaces and we are offered insight into two mothers with conflicting notions about love and protection.",['Drama'],,5
3,1873292,Mother,2024-01-01,A young woman is in over her head chasing her mother's old national championship swimming record.,['Drama'],,5
3,1596895,Sphere,2022-01-01,"The film is created using satellite images of the Earth. Abstract and unconventional visuals combined together give the impression of new worlds, which we can all interpret in our own way; the emergence of life on Earth, the passage of time or the catastrophic development of civilization. The possibilities of these interpretations are endless. It all depends on the imagination and personal impressions of the viewer.",['[]'],,3
