user_id,item_id,item_type
1,0060809833,1
1,08Isz2ETWSBhvIl8UpKYsp,3
1,0F2BxpbxH8Yc3pLub48hrb,3
1,20I6sIOMTCkB6w7ryavxtO,3
1,7nAfXgeHfDO50upcOjJOaq,3
1,2AuWgceaQyfMoI3EGavwGb,3
1,62MosvjGMQY3HeGPFEsmM1,3
1,1kPBT8S2wJFNAyBMnGVZgL,3
1,0P4AQdNDgEdi7J8mpgY8Jx,3
1,3lyLqIn8mybyEFTs8JJaLf,3
1,0Ev562zA4pmUsBqjxsxxdx,3
1,3W8vQte87Y6rQt1v1ZzndA,3
1,1B5Tp2Ml9nLlmTSJx8xVfI,3
1,6Pif6RkFoYzLygdqktus4Q,3
1,4vjpLMyL3ZO6aphdYr8XYw,3
1,5egqKwgK5r5rvGD1LrtR7J,3
1,3Y7fpFZbHLpAvWJJYGehz0,3
1,4RCWB3V8V0dignt99LZ8vH,3
1,7zMUCLm1TN9o9JlLISztxO,3
1,79CUrU5o2KAVDTNm4x3eGU,3
1,4fyR24BKznXBLNkK8LwWla,3
1,0CwLue2qwkPcQpovNGNtVx,3
1,4jVBIpuOiMj1crqd8LoCrJ,3
1,0INUE1K7cEiE8VH63Rv5RJ,3
1,2aJDlirz6v2a4HREki98cP,3
1,63OQupATfueTdZMWTxW03A,3
1,4hGHgXcTOD8BzJKMz062ZN,3
1,5IgjP7X4th6nMNDh4akUHb,3
1,7K5tOFxje8nlunmexOmWgo,3
1,2dXsILW8gzkosqleHAvl0v,3
1,3pjW5482iWgJVqQOpu4AG9,3
1,3jZDWsoxRHzzp3DYV8qeXE,3
1,4b3khTm3ufGRTyZwuYdasn,3
1,0azC730Exh71aQlOt9Zj3y,3
1,5EYZZvmNAH5VZCwuzYJqoA,3
1,0zzVTGyRrWpQu8Fr28NRAv,3
1,6yLIqXX9edg1x0HZS7cZEv,3
1,1zoyteFQmeUUqyOl2Xznpy,3
1,3gsCAGsWr6pUm1Vy7CPPob,3
1,5pKCDm2fw4k6D6C5Rk646C,3
1,0d2iYfpKoM0QCKvcLCkBao,3
1,0dKg2vGC1hFqcK5LGTaKzX,3
1,7fBv7CLKzipRk6EC6TWHOB,3
1,6jmTHeoWvBaSrwWttr8Xvu,3
1,7h24KIgBhiyzbYnxsGzevk,3
1,40lKptao1hxVqA7fd1OOGp,3
1,0HqZX76SFLDz2aW8aiqi7G,3
1,7sziTn5nHwrWf4K7gISaaU,3
1,1122472,2
1,1079038,2
1,1912453,2
1,1511347,2
1,1602638,2
1,1255259,2
2,0812575725,1
2,0L0DM33NAe6PjQ1BB4cEjJ,3
2,63irPUP3xB74fHdw1Aw9zR,3
2,4r9jkMEnArtWGH2rL2FZl0,3
2,7GNRUsU3M4XNDDB9xle5Dz,3
2,0FDMH2ahuIVzCybwHJK9zh,3
2,3qrdLVOClRU4yPkcXZ7c5u,3
2,1R0a2iXumgCiFb7HEZ7gUE,3
2,5p7ujcrUXASCNwRaWNHR1C,3
2,6RK3IsiUW6YaSMEodbO4tk,3
2,3H0ZT9YkGlYH9rNIcB4ysg,3
2,0OGw7V8wAI6OsZIQ12JkTP,3
2,5FVd6KXrgO9B3JPmC8OPst,3
2,4IsO1J5LSrVwkQOIEdZ417,3
2,4HOVQhtjFCRGY9PnsLoR86,3
2,1y7agAufBsudgRXuq6Ekqb,3
2,2ijef6ni2amuunRoKTlgww,3
2,4qRcjFkFqSpLBzcbLDt7HL,3
2,6CRX3ENpLq42r0iBSjOqr1,3
2,2pcwmk8c1pTYwX0COSVX52,3
2,0OwEskGUqCMgkSY7JkJS7x,3
2,3ZCLZ1tQf9Pcl2UO8s6JnN,3
2,5WLaJoYalaASb9JB7Yk5U6,3
2,6OMO6WdRhSfjMPAiPT94wH,3
2,3gsCAGsWr6pUm1Vy7CPPob,3
2,7K5tOFxje8nlunmexOmWgo,3
2,58AGoOGbwsQMhBbH0eFLRR,3
2,1H3Q48ARz2ZEwbOl6s53Mq,3
2,4ZtFanR9U6ndgddUvNcjcG,3
2,7mzPAftljnsFmU6131Pqcd,3
2,1351153,2
2,1675391,2
2,1603079,2
2,1009899,2
2,1369851,2
2,1255259,2
3,0440222656,1
3,4RAOI1etsgbh5NP3T5R8rN,3
3,4QlzkaRHtU8gAdwqjWmO8n,3
3,24upABZ8A0sAepfu91sEYr,3
3,4woTEX1wYOTGDqNXuavlRC,3
3,563SfWAHJs4FBZMkRN0IFN,3
3,0kTMK4gNFfLXaTb62w1UaJ,3
3,5aXTfpNOqLj35ydEiLio67,3
3,3JvrhDOgAt6p7K8mDyZwRd,3
3,11Ojp7JniVvwd0gmgvyKkd,3
3,5f2zZawBtGBEw24ABweErz,3
3,5TXDeTFVRVY7Cvt0Dw4vWW,3
3,3NuK5xMlSlB6K2Qp16zf3h,3
3,0qt5f5EL92o8Snzopsv0en,3
3,5z6xHjCZr7a7AIcy8sPBKy,3
3,6BwPstqf4RoRMbDidFWNxE,3
3,5imShWWzwqfAJ9gXFpGAQh,3
3,228BxWXUYQPJrJYHDLOHkj,3
3,3nqQXoyQOWXiESFLlDF1hG,3
3,6otiaV2fagE3s8IvP6WkwG,3
3,0CsM8VGDi38kusMv3pxyj1,3
3,44xO8889yUQHn70P73NILS,3
3,2YpeDb67231RjR0MgVLzsG,3
3,0F2BxpbxH8Yc3pLub48hrb,3
3,4ZtFanR9U6ndgddUvNcjcG,3
3,3HeZam86SuxGp1wZ3XMIjE,3
3,7uCBGNn991AM68fR4tSDco,3
3,3Ga6eKrUFf12ouh9Yw3v2D,3
3,6v0UJD4a2FtleHeSYVX02A,3
3,7FIWs0pqAYbP91WWM0vlTQ,3
3,6JgHKt0WwdwlXIht6M0mqa,3
3,5HQVUIKwCEXpe7JIHyY734,3
3,0xzI1KAr0Yd9tv8jlIk3sn,3
3,6L89mwZXSOwYl76YXfX13s,3
3,5dTHtzHFPyi8TlTtzoz1J9,3
3,2DRMuw0U0QbkVQxWxdJV3M,3
3,4RVwu0g32PAqgUiJoXsdF8,3
3,14rZjW3RioG7WesZhYESso,3
3,6XmBh5HSdVzEAaqzEftL9t,3
3,2d9EgBM9F09IkEG8t9T6L8,3
3,2tGvwE8GcFKwNdAXMnlbfl,3
3,0U32q8CZRRo7xCzyiaZw5f,3
3,4UEo1b0wWrtHMC8bVqPiH8,3
3,3Ye5icBka8ODjcaEQakPvZ,3
3,5naar7XewEOAjOywIp6Jjq,3
3,4sOX1nhpKwFWPvoMMExi3q,3
3,3qd1eI1GA0FwC3VHcxHhDC,3
3,0qo1JukfClmpHnUOJxpFXi,3
3,3nc420PXjTdBV5TN0gCFkS,3
3,3RgQFleuuQKcCmig9ItyxQ,3
3,46gSk82duJtX3TTA182ruG,3
3,7uUahoeqGNRMbpdeiLj1rS,3
3,4hyVrAsoKKjxAvQjPRt0ai,3
3,03x2rVJRFUrvwlfxoHd9Mo,3
3,5JdLUE9D743ob2RtgmVpVx,3
3,7p30D2KjK2XW7YUvI6nH3o,3
3,2wSAWEYUHkt92X4SBAPqZE,3
3,3SdingSsFcZDZAyvcJbgAw,3
3,5Z9KJZvQzH6PFmb8SNkxuk,3
3,5qaEfEh1AtSdrdrByCP7qR,3
3,5WSsTyBvMEFG3ac6JKb9gY,3
3,0lks2Kt9veMOFEAPN0fsqN,3
3,0EfsDEYaSjGYd66Pr881nq,3
3,6p8eFfPw3nQkf37aT3AkmK,3
3,6UHfW9PmGAUjIVeIkPzPQ2,3
3,3SdingSsFcZDZAyvcJbgAw,3
3,5fwSHlTEWpluwOM0Sxnh5k,3
3,1JQ6Xm1JrvHfvAqhl5pwaA,3
3,3aYBjxTMvrEOP0A0UXg9ER,3
3,2LcXJP95e4HKydTZ2mYfrx,3
3,1B5Tp2Ml9nLlmTSJx8xVfI,3
3,2HZLXBOnaSRhXStMLrq9fD,3
3,3zHq9ouUJQFQRf3cm1rRLu,3
